system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2011_analysis_2014_BF_3,90,0.15095557960558306,-0.30928571428570706,-0.07424999999999926,-0.47694047619046387,0.03333333333330302,0.34107142857143913,0.8386666666666542,0.9876190476190345,0.46507479166241594,2014.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_BF_4,52,0.026372287434790236,-1.2419047619047205,-0.2655000000000314,-1.5542857142857542,0.016607142857139934,0.41271428571428714,0.9710000000000036,1.6733333333333462,0.9294356407859089,2014.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_BF_0,472,-0.01723941977278976,-0.8420269841269828,-0.2863836219336321,-1.6123333333333107,0.010487036720591229,0.25752999967203993,0.9018911564625804,1.2667261904761915,1.039762802379576,2015.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_BF_1,97,0.03899136430579661,-0.6612499999999812,-0.21915740740742726,-0.7671984126984341,0.010313920454551706,0.22526521164020608,0.451164682539698,0.7627857142857124,0.9290277811906233,2015.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_BF_2,227,2.7137485617428827E-4,-1.115285714285714,-0.42219047619048666,-1.8083333333333371,0.01004118165784765,0.4074295634920695,1.0300000000000011,1.7180000000000035,1.10668862917473,2015.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_BF_3,90,0.06013015071348365,-0.47232142857143344,-0.19249999999999545,-0.7360714285714494,0.03604166666666231,0.2882857142857347,0.6574999999999989,0.9274999999999523,0.4795865933770523,2015.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_BF_4,52,-0.3795944749694759,-1.884999999999991,-0.5632936507936535,-2.9500000000000455,0.0,0.32177380952380474,0.675777777777796,1.0679999999999836,1.4122795135442132,2015.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_BF_0,471,0.0264537986783202,-1.1642328042328056,-0.2792167277167327,-2.030416666666639,0.00961325611325684,0.41516746031743706,1.4064761904761838,2.2196666666666545,1.4230173379152578,2016.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_BF_1,97,0.012476313205692896,-0.8102777777777987,-0.32898809523807887,-1.3339999999999748,0.007297619047625404,0.3353273809524211,0.8433333333333621,1.2965555555555284,0.7459461598151069,2016.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_BF_2,226,-0.009279375614551553,-1.7920833333333377,-0.3719999999999857,-3.106500000000011,0.006477297895901434,0.40694642857140195,2.0593333333333135,2.569333333333333,1.8323415265436014,2016.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_BF_3,90,0.19288501683501774,-0.4383035714285768,-0.16395833333334053,-0.5600000000000023,0.16228373015869835,0.4453888888888571,0.9619424603174735,1.2657142857142958,0.5998685912389343,2016.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_BF_4,52,-0.04148350954601909,-0.972500000000025,-0.3066666666667004,-2.8799999999999955,0.031111111111130185,0.4320039682539658,0.8519642857142458,1.4822222222222194,1.1882937940156553,2016.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_BF_0,468,0.030730729147395462,-0.9640839947090001,-0.2913630952380946,-1.4052777777777692,0.013354113479110561,0.40032544191917907,0.9618518518518471,1.5,0.9896425133949658,2017.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_BF_1,95,0.23111875522138564,-0.4823809523809075,-0.10946329365078356,-1.2026666666666301,0.003208874458873755,0.5158333333333474,1.2492857142856906,1.8040000000000305,0.937014273392216,2017.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_BF_2,225,-0.01470455026454993,-1.02847142857143,-0.22947222222222288,-1.7495000000000118,0.014127583108712264,0.35610714285713385,0.9597916666666464,1.7305000000000206,1.1293865262560916,2017.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_BF_3,90,-0.007524539041205319,-0.7060119047619082,-0.2950555555555449,-0.9376388888888698,0.004391534391530172,0.25967965367964896,0.5949107142857031,0.9288888888888778,0.6905318387533168,2017.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_BF_4,52,-0.07592759324009699,-1.100357142857149,-0.44328787878785647,-1.6066666666666833,-0.027361111111133596,0.4806249999999892,0.8933333333333167,1.199166666666656,0.8455780530737242,2017.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_BF_0,468,0.09639103566186862,-1.0399953703703726,-0.2855550595238121,-1.4399999999999977,0.01120163331032502,0.39916496598639484,1.3316666666666634,2.0450892857142833,1.0947242742737449,2018.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_BF_1,96,0.1011695752164492,-0.9084722222222297,-0.34649034992782646,-1.2113333333333571,0.005199074074070609,0.3086666666666815,0.9564285714285745,1.627999999999986,0.9597031075161365,2018.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_BF_2,225,0.08710285714285622,-1.324111111111127,-0.22509807256235245,-2.079999999999984,0.00881785714285499,0.6070952380952311,1.5879999999999654,2.1159999999999997,1.3002947767686692,2018.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_BF_3,90,0.08192850328683726,-0.5873611111111074,-0.26159722222222115,-0.7348888888888704,0.020095238095230172,0.2322222222222384,1.070565476190474,1.7685714285714198,0.7320190378820765,2018.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_BF_4,51,0.1580309184279782,-0.7054444444444528,-0.36000000000001364,-1.058749999999975,0.1560000000000059,0.31155555555551473,1.4800000000000182,1.762222222222249,0.8664799061726474,2018.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2019_BF_0,465,0.12427870486741423,-1.198999999999998,-0.44171924603175083,-2.015416666666667,0.02133158541194528,0.4179273182957448,1.4088749999999877,2.2864642857143025,1.5992841194122758,2019.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2019_BF_1,95,-0.05667798663324944,-1.261666666666656,-0.5430206349206401,-1.884999999999991,-0.015178571428558977,0.42045833333333604,0.9129166666666606,1.6173809523809837,0.9733003104193658,2019.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2019_BF_2,225,0.2096475661375656,-1.8266666666666538,-0.4365119047619065,-2.547499999999985,0.011181405895693119,0.4278428571428492,2.052999999999969,3.25,2.073399421697908,2019.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2019_BF_3,88,0.08018874622851803,-0.903333333333336,-0.2778472222222419,-1.6186666666666838,0.07488888888887384,0.42177777777779113,0.9782777777777909,1.244583333333324,0.949232829159016,2019.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
