system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2010_analysis_2023_MF_1,84,0.04267894935751909,-0.4286363636363717,-0.10160353535354716,-0.5963636363636624,0.007045454545441032,0.22949567099567503,0.48577777777776987,0.7209999999999752,0.3609099479219369,2023.0,MF,2010.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_MF_2,1243,-0.01688665415214109,-0.3177453102453041,-0.13108787878787684,-0.5080202020202194,0.0011894949494947267,0.10070265151514472,0.28744877344877295,0.41304545454546826,0.2975374098541018,2023.0,MF,2010.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_MF_3,44,-0.022612488521583627,-0.4326363636364192,-0.1726818181818075,-0.5397272727273048,-0.018138888888884708,0.1311767676767488,0.41799999999997794,0.44472727272730594,0.31220319461619467,2023.0,MF,2010.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_MF_4,40,-0.061378377525250015,-0.5788333333333284,-0.25818181818183206,-0.656952651515148,-0.04223484848485981,0.08090909090908838,0.30115593434344134,0.4274015151514874,0.40266696021130677,2023.0,MF,2010.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_MF_0,1131,-0.11578206675189419,-2.315548941798937,-0.6864511408730198,-3.700406746031728,0.019009356384356718,0.5551865079365103,1.9544999999999941,3.215369047619056,2.3668409655879676,2012.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_MF_1,56,0.08827036951144152,-1.0075000000000216,-0.4673452380952483,-1.1809642857142677,-0.00845833333333701,0.34667658730160156,1.5566666666667004,2.7785714285714107,1.0128384354711926,2012.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_MF_2,990,-0.13643601636859226,-2.515683333333332,-0.8220569727891142,-4.092749999999995,0.014688488561061402,0.5608471177944889,2.1840650183150156,3.5458333333333414,2.5039926949022546,2012.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_MF_3,50,0.028155082972588445,-0.6455357142857139,-0.18452380952376757,-1.0165277777777817,0.03541666666667709,0.2418750000000074,0.6261111111111006,0.888253968253963,0.5540714831250522,2012.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_MF_4,35,-0.1126957482993179,-1.4575000000000102,-0.582666666666654,-2.0283174603174814,0.0,0.4058928571428595,1.3599999999999852,2.024000000000001,1.1988819544213904,2012.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_MF_0,1128,0.0074153635839135515,-3.844532051282051,-1.4001169871794905,-5.584555555555556,0.02834891333467359,1.0998391053391068,3.8473435374149676,5.850041666666659,3.554391588101838,2013.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_MF_1,56,0.05663212159863943,-1.3555000000000064,-0.6406249999999929,-2.8249999999999886,-0.019374999999989484,0.4096428571428561,1.6614285714285586,3.501666666666665,1.6725833730956035,2013.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_MF_2,987,-0.019760023158200118,-4.146994505494508,-1.6260083333333335,-6.128355654761908,0.02485937849318206,1.3573345238095265,4.130465608465607,6.09911190476191,3.7582736652438076,2013.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_MF_3,50,0.18378274531024516,-0.4552499999999995,-0.18014285714284028,-0.7369047619047251,0.1277857142857215,0.5531111111110931,0.9199523809523669,1.1471428571428532,0.5988690233507943,2013.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_MF_4,35,0.30663486394558026,-1.672500000000042,-0.4746428571428396,-3.3819166666666547,0.0,1.0000000000000142,2.324166666666656,4.032499999999999,1.8611873302507331,2013.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_MF_0,1133,-0.20832635633220367,-1.8134895833333395,-0.4359542727943907,-3.0772000000000106,0.019729726380489324,0.1826763898638913,1.1730128968253932,1.9477738095238075,1.7442060801659431,2014.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_MF_1,55,0.04517496392496463,-0.4056666666666615,-0.16422619047617104,-0.6833333333333371,0.04741071428570365,0.2549900793650721,0.6358630952381077,0.7168452380952175,0.7575912138190898,2014.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_MF_2,994,-0.24724059817055316,-2.0527619047619003,-0.5657441421012825,-3.314654761904791,0.017170262656964464,0.18328510169076248,1.3159375901875903,2.0454616402116463,1.8433819864629377,2014.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_MF_3,50,0.07419940476190845,-0.3479712301587199,-0.08800000000000807,-0.5858333333333121,0.04993055555554804,0.24411111111109562,0.5070277777777932,0.6308333333333564,0.34507982411314725,2014.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_MF_4,34,0.09691905929038444,-0.7758333333332956,-0.36199999999999477,-1.039999999999992,0.0045000000000001705,0.3408035714285518,1.1412500000000136,1.4833928571428316,0.7568640612560711,2014.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_MF_0,1071,-0.016517570664629465,-1.5623148148148023,-0.4307849002848988,-2.6928520408163275,0.018694908266336945,0.30325978835979045,1.4376651785714252,2.4218333333333333,1.6148243488618856,2015.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_MF_1,58,0.15610680387620174,-0.4992619047619371,-0.2540000000000049,-0.8271428571428316,0.0,0.36476190476190595,1.6498571428571438,1.9683333333333195,1.1060758113075992,2015.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_MF_2,928,-0.017670573888515735,-1.6953166666666477,-0.4287688172042964,-2.693674603174602,0.015962657548940905,0.3021717923280447,1.5677925170067917,2.53843749999999,1.671691933132571,2015.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_MF_3,50,0.03657781024531232,-0.3717499999999916,-0.1138095238095218,-0.5658432539682394,0.06527777777776578,0.2711011904761875,0.6817310606060758,0.8241666666666561,0.6883021775494312,2015.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2015_MF_4,35,-0.3297174500103109,-2.7583333333333258,-0.4948571428571569,-4.565000000000026,0.0,0.30071428571426395,1.0749999999999886,1.2683928571428424,1.697422402553319,2015.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_MF_0,1117,-0.11718363016919406,-2.202290043290046,-0.6936161081716608,-3.1830264550264644,0.01550122784539806,0.5652139563335276,1.565747899159668,2.427520833333329,1.80133002292256,2016.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_MF_1,57,-0.017942906508691823,-0.7225000000000108,-0.22333333333334338,-1.03857142857143,-0.04333333333329392,0.2793809523809472,0.6800000000000068,1.2700000000000102,0.7204892124433512,2016.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_MF_2,977,-0.1411724689503608,-2.3108124999999995,-0.6983785369220116,-3.314398412698421,0.01375598113641542,0.5792752100840363,1.8131375000000076,2.4349523809523737,1.8930506435622088,2016.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_MF_3,50,0.010122658730161618,-1.0044999999999789,-0.2603869047619014,-1.4255357142856866,0.1258333333333539,0.47366666666665935,0.8840952380952487,1.1041269841269923,0.873362389575345,2016.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2016_MF_4,33,0.23660606060606512,-1.1616666666666902,-0.40416666666665435,-1.3887499999999875,0.0,0.913583333333321,1.8100000000000023,3.0500000000000114,1.2295214487770658,2016.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_MF_0,1113,-0.018143601008156374,-2.104972222222228,-0.5587062872023756,-3.3053500000000158,0.016389360696695273,0.5501523148148176,1.931636160714282,3.1754166666666848,1.9696037084921263,2017.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_MF_1,58,0.05725708128079017,-0.8170000000000073,-0.2593750000000199,-1.2255555555555304,0.07410714285713027,0.36737499999998136,0.6520000000000152,1.5140476190476306,0.6889810731987638,2017.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_MF_2,972,-0.021472088982120285,-2.315500000000007,-0.694731676003731,-3.568122023809533,0.012817644887412123,0.5498694985570012,2.1647023809523853,3.5848333333333358,2.0951051523343933,2017.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_MF_3,50,0.06260795454545587,-0.27168750000000585,-0.09444444444446276,-0.49902380952380554,0.023680555555571914,0.24687499999998863,0.4321944444444341,0.5011904761904731,0.288722842041779,2017.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2017_MF_4,33,-0.16242851130350677,-1.1819047619047467,-0.5826190476190334,-1.430654761904762,0.0,0.26133333333331166,0.5505119047619047,1.3471428571428419,0.7462915622430993,2017.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_MF_0,1119,-0.21816885260752533,-2.9431506410256256,-0.944442821067824,-4.175665123456791,0.011162994291283755,0.5635900587507747,2.3507261904761867,3.5641785714285703,2.404408039029561,2018.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_MF_1,56,0.2651606691919185,-0.7340674603174477,-0.46682043650791627,-1.0749999999999886,0.0,0.34538888888886277,1.5605833333333266,3.0200634920634855,1.290791839528689,2018.0,MF,2011.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_MF_2,980,-0.27567512350178147,-3.047847527472526,-1.3224900793650767,-4.367769047619037,0.009488966318234478,0.5628911564625851,2.4309857804232777,3.815349206349216,2.5367351836094003,2018.0,MF,2011.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_MF_3,49,0.1346846195188081,-0.43465007215007745,-0.22111111111107107,-0.5449999999999875,0.07100000000001216,0.4280158730158661,0.6786349206349342,0.785952380952395,0.5838202133084088,2018.0,MF,2011.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2018_MF_4,34,0.099348569730919,-0.4826666666666881,-0.08916666666667084,-2.0212222222222067,0.025624999999990905,0.5366818181818331,1.1267559523809467,1.545714285714297,0.9025408463116414,2018.0,MF,2011.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2019_MF_0,1098,-0.016594953076169212,-2.194058201058201,-0.5499982993197298,-3.3126944444444555,0.019439035278320846,0.5651494996549292,2.054411564625854,3.434637755102035,2.1621641259295012,2019.0,MF,2011.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
