system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2006_analysis_2016_BF_3,84,-0.017305774582561235,-0.49571428571425713,-0.16244047619046142,-0.7242499999999836,2.8571428571240177E-4,0.21125925925927427,0.3745454545453981,0.45996103896105467,0.3711692972725516,2016.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2016_BF_4,24,-0.12755373677248727,-2.157999999999987,-1.071249999999992,-3.080000000000041,0.055714285714273615,0.42104166666668164,2.3049999999999784,3.5600000000000023,2.001454505693303,2016.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2017_BF_0,467,-0.06587759438990712,-1.5375000000000039,-0.4392814685314586,-2.4654444444444343,0.014225986415379274,0.3145269841269851,1.3175000000000239,2.394999999999982,1.6100844838561397,2017.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2017_BF_1,55,0.051599435917618376,-0.9633333333333098,-0.2971428571428305,-1.4309999999999832,0.0,0.34499999999997044,0.9000000000000057,1.6924999999999955,0.8455446154997963,2017.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2017_BF_2,302,-0.10804978713339641,-2.056761904761892,-0.7082380952380934,-2.967976190476179,0.010458577951727367,0.4433571428571343,1.4649583333333425,2.8549999999999613,1.9137207508626697,2017.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2017_BF_3,83,-0.11599569707401036,-0.6194444444444684,-0.3043055555555725,-1.1640000000000157,-0.03993055555556424,0.14366666666668002,0.3447272727272548,0.5217727272727188,0.47383636861182793,2017.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2017_BF_4,26,0.24911050061049878,-1.0106666666666797,-0.5657142857143072,-1.5264999999999986,0.16175000000001205,0.8899999999999864,1.7858333333333007,2.538333333333327,1.2226675238700044,2017.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2018_BF_0,469,-0.04683928840645272,-1.2073309523809428,-0.40803751803752564,-1.9005535714285813,0.004436369509042426,0.2840706349206329,1.0411166666666531,1.7699999999999818,1.2924368846752192,2018.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2018_BF_1,55,-0.03729100091827449,-0.7958333333332916,-0.26799999999997226,-1.2099999999999795,0.015535714285704216,0.3348571428571745,0.5600000000000023,0.6888888888888687,0.5463343060708915,2018.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2018_BF_2,305,-0.05665638942114338,-1.6076666666666597,-0.5910763888888724,-2.308333333333337,0.0021141345427048734,0.3484333333333325,1.3436111111111302,2.255166666666611,1.4945494945744042,2018.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2018_BF_3,83,-0.006979272066623625,-0.42863696488698605,-0.20344997594998895,-0.7182857142857415,0.004228571428569694,0.16880952380952294,0.361380952380955,0.7309523809523739,0.47505958115591285,2018.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2018_BF_4,25,-0.18695238095237868,-0.6066666666666549,-0.26166666666665606,-0.6700000000000159,-0.011746031746042718,0.1916666666666913,0.7980555555555497,1.6008333333333553,1.566999566789334,2018.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_BF_0,469,-0.06776959743644113,-0.9536785714285685,-0.35656746031745,-1.4238888888889392,0.0016531841652324493,0.26257215007215834,0.7331986531986653,1.2259285714285681,0.8396084126674869,2019.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_BF_1,55,0.01371408238226505,-0.32285714285717404,-0.24393939393939945,-0.4869841269841686,-0.0024999999999977263,0.16124999999999545,0.41561507936509656,0.7100000000000364,0.5533832961170866,2019.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_BF_2,304,-0.10091635931685254,-1.1522499999999951,-0.4886380952380932,-1.7275714285714088,9.538926681789199E-4,0.26171768707483317,0.9525357142857018,1.4879999999999427,0.9611836819750549,2019.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_BF_3,83,0.039698117143898454,-0.5116666666667129,-0.25454545454547883,-0.5886666666667111,0.0014814814814801342,0.20937962962961856,0.5437619047619364,0.9200000000000159,0.4784422240343163,2019.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_BF_4,26,-0.1873558802308701,-1.0053333333333399,-0.46333333333330984,-1.73333333333332,-0.07755555555559113,0.23050000000000637,0.5642857142857167,0.8186666666666724,0.6696468039199077,2019.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_BF_0,467,0.10582230765903199,-1.3161484126984049,-0.4609288048552705,-1.6815555555555572,0.016337976654807167,0.5541666666666681,1.4427380952380957,2.434333333333342,1.5058700890537247,2020.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_BF_1,55,-0.038560028860025464,-1.1361904761904498,-0.6290000000000191,-1.4913333333333298,0.0,0.21000000000003638,1.023333333333369,2.251666666666665,1.0252700787087101,2020.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_BF_2,303,0.14677930054910307,-1.4090674603174556,-0.5826615079365183,-1.9411111111110888,0.009053485162179018,0.6883910533910551,1.938333333333323,2.696428571428541,1.6549410103171998,2020.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_BF_3,83,0.0015415080234360509,-0.5025099206349353,-0.2087142857142794,-1.0477777777777817,0.00888888888889803,0.35333333333335304,0.8306349206348784,1.0193333333333214,1.196845790721984,2020.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_BF_4,25,0.11258031746031293,-1.346666666666664,-0.714999999999975,-1.424666666666667,-0.007499999999993179,0.5300000000000011,1.3266666666666822,2.1329999999999814,1.286648925614298,2020.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2021_BF_0,465,0.08153908051327283,-0.8491595238095272,-0.2148249158249295,-1.3134999999999764,0.004677853892140227,0.34673148148148697,1.08776767676765,1.5975714285714275,0.9357527858784119,2021.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2021_BF_1,55,0.035767912895184134,-0.4589285714285438,-0.10322222222225719,-0.8626785714285745,0.04634920634919126,0.24749999999994543,0.5404444444444607,0.9479761904761972,0.5185371118166698,2021.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2021_BF_2,302,0.10326635919268269,-1.0178333333333427,-0.28438888888888414,-1.758777777777766,0.0019380952380962364,0.46958630952382663,1.3573035714285737,1.7733333333333121,1.0861488848426386,2021.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2021_BF_3,81,-0.018724368909556196,-0.4817929292929364,-0.20997787397789125,-0.5101884920634632,-0.003915343915347573,0.11605555555553337,0.367999999999995,0.622142857142876,0.5384209549683693,2021.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2021_BF_4,26,0.18944637307137013,-0.589999999999975,-0.07166666666665833,-1.0089999999999577,0.14299999999998647,0.4479999999999791,1.0949999999999704,1.2174999999999727,0.6328300162493649,2021.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2022_BF_0,464,-0.01878041887470786,-1.0307452200577245,-0.37459225188392115,-1.849583333333328,0.003606562137050088,0.4036164021163984,1.0397777777778003,1.543065476190506,1.0831402133653059,2022.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
