system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2017_analysis_2019_BF_0,770,0.10847209259774214,-0.5568934955613222,-2.5463822751320038,0.0672440927410431,0.9260665232206151,2.8170777777779223,1.991204306145393,2019.0,BF,2017.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2019_BF_1,81,0.43683391724760295,-0.20657142857123034,-1.0367559523813128,0.41962053571429436,0.8888200096200976,2.319999999999993,1.043407247248868,2019.0,BF,2017.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2019_BF_2,466,0.019247137491991723,-0.8244928241216757,-3.18537777777812,0.06713002951981412,1.0588948202683435,3.4994074074076895,2.39009544598627,2019.0,BF,2017.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2019_BF_3,158,0.20864080180824437,-0.3278879131451454,-1.3367562358275862,0.10834608585859229,0.7659133450910822,2.1855555555555384,1.0211255000105979,2019.0,BF,2017.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2019_BF_4,69,0.10572120241956848,-0.48380952380951747,-1.8414632936502322,0.09610175925929809,0.6600946969695786,2.5082936507933162,1.3985165309689573,2019.0,BF,2017.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2020_BF_0,760,0.0822530392683732,-0.5589852346408036,-2.090680555555767,0.061686119729363977,0.8033780933899362,2.429686948853593,1.816761720662542,2020.0,BF,2017.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2020_BF_1,81,0.35616606184392996,-0.20098484848491793,-0.8497971781304265,0.31856837606830624,0.7719991962769974,1.4996862745098198,0.9884836421042136,2020.0,BF,2017.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2020_BF_2,457,0.0076161876848272695,-0.8000221997468566,-3.810555555554133,0.062086443057702924,0.8017507790991746,2.7920740740736294,2.199453552842207,2020.0,BF,2017.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2020_BF_3,157,0.133880294893863,-0.3944948979591256,-0.9416666666665066,0.014715674603180417,0.5565208333334049,1.792538053467032,0.9102830383543349,2020.0,BF,2017.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2020_BF_4,69,0.12626364835164258,-0.5859098639455809,-1.4191904761905594,0.008066666666538325,0.6159743589742916,2.099458333332972,1.1118389761617202,2020.0,BF,2017.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2021_BF_0,767,0.17585446243932779,-0.811918408792229,-3.3033687301586054,0.05805226846245458,1.0656607320919056,3.8210416666660687,2.4862106673710596,2021.0,BF,2017.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2021_BF_1,81,0.3664018004183689,-0.46145208032714713,-1.3073412698412277,0.165861607142892,0.852857142857907,3.353952380952494,1.7036732867796887,2021.0,BF,2017.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2021_BF_2,463,0.18272014706324974,-1.2038110427501967,-4.054825757575581,0.05497897451802527,1.4298947931698291,4.818370370370671,2.991485322116671,2021.0,BF,2017.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2021_BF_3,158,0.04764347403742805,-0.6171695011337756,-1.4886363636363171,-0.023303703703759025,0.57642065696661,1.712288359788424,0.9863647612307894,2021.0,BF,2017.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2021_BF_4,69,0.19576254513167465,-0.4673129251701429,-1.7062047619049423,-0.16432782369154886,0.8998651455026128,3.4749999999993655,1.733266989749077,2021.0,BF,2017.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2022_BF_0,769,0.09444953607529753,-0.6901915536961497,-2.6758793650797115,0.056869374493257935,0.8184332323311284,3.0968636548634243,1.7352682021937587,2022.0,BF,2017.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2022_BF_1,81,0.33951952411160746,-0.3018250915749938,-1.171360544217741,0.26901675485007814,0.9320000000002118,2.029515873015921,1.055734532509356,2022.0,BF,2017.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2022_BF_2,465,0.03185620047300926,-0.939299562093694,-3.3253568858041667,0.049860231629956855,0.9376151514882295,3.4152777777779226,1.987111440833259,2022.0,BF,2017.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2022_BF_3,158,0.1424485247440988,-0.46642375340711073,-1.0877735203509122,0.019905660774326428,0.5285626360789498,1.7268537414964875,1.0447204539609691,2022.0,BF,2017.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2022_BF_4,69,0.1370237682278699,-0.5242499999998564,-2.5332500000006917,0.2218388662777754,0.8250603174602258,2.4984722222215687,1.7612939611447698,2022.0,BF,2017.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2023_BF_0,775,0.1007333946627931,-0.2825946290699448,-0.9008394245485132,0.02485175014081373,0.4672866873151271,1.354651048297989,0.7753080647877513,2023.0,BF,2017.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2023_BF_1,81,0.259428265003409,-0.267840054682166,-1.2559999999994993,0.12983293249955055,0.8178535353537786,1.7698036616161277,1.1201231817178992,2023.0,BF,2017.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2023_BF_2,471,0.07700359311614313,-0.29904926782619906,-0.8604226884226668,0.04691249398746828,0.42304038654948417,1.1538888888889893,0.6230139982911219,2023.0,BF,2017.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2023_BF_3,158,0.09586562382759664,-0.33881874298540193,-1.0857575757575617,0.0870689033189187,0.4545351851851338,1.4567301587300392,0.8267086400647549,2023.0,BF,2017.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2023_BF_4,69,0.12054429286324765,-0.3920193362193114,-1.3087878787875447,-0.015606060606045228,0.41257016317025474,1.7791298701296476,1.1107345898938619,2023.0,BF,2017.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2019_BF_0,883,0.21900204768484205,-0.37184329779189035,-2.643553174602996,0.11943191139367543,0.8521091019144394,2.572935478080062,1.9767966151041465,2019.0,BF,2018.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2019_BF_1,139,0.4075418110422275,-0.23066410861876227,-1.0476862244897749,0.29604166666667453,0.8595945165946581,2.1931390977442717,1.0373057533006698,2019.0,BF,2018.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2019_BF_2,454,0.13630655979579648,-0.8779938485620388,-3.643802020201507,0.13036089865577868,1.1470711460111438,3.8802261904764634,2.5870522176852435,2019.0,BF,2018.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2019_BF_3,223,0.29449769136113807,-0.30152546296297356,-1.0684146825396468,0.2952834342853177,0.8212609489276703,1.8324149659865263,0.9245342756669986,2019.0,BF,2018.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2019_BF_4,74,0.13369108091892618,-0.3298293650793962,-1.167835530045318,0.14138520408175914,0.6057738095237646,1.9303030303035627,0.9670469237406614,2019.0,BF,2018.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2020_BF_0,884,0.1439758073130398,-0.44076164644976773,-2.0655814679150164,0.18025018598990405,0.6846856954050782,2.2026168117943747,1.8919124461544068,2020.0,BF,2018.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2020_BF_1,139,0.3309134228171341,-0.172421435998646,-0.730514550264612,0.26935210953067035,0.6670476190482297,1.9469092261904741,0.7855823986493518,2020.0,BF,2018.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2020_BF_2,452,-0.0051020039969541095,-0.8051528483093131,-2.916333333333414,0.04625571410876187,0.6837658770536936,3.202499999999933,2.4875036282325875,2020.0,BF,2018.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2020_BF_3,225,0.20398925269978813,-0.2993869047617599,-1.205936147186114,0.17249991181655608,0.7355657738095231,1.6370833333331785,0.7972336388038296,2020.0,BF,2018.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2020_BF_4,75,0.5151624525320178,-0.33949618291768563,-0.8817777777778026,0.09305123743090664,1.167111111111204,2.498333333333335,1.2552718019235432,2020.0,BF,2018.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2021_BF_0,883,0.02637562021540695,-0.6921836654587097,-3.5383529265874367,0.05762167331949802,0.8251162988012947,3.4209628219340362,2.1883819216843485,2021.0,BF,2018.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2021_BF_1,139,0.3286677132930297,-0.3291666666664934,-0.9771023809518997,0.09849779040393614,0.7618844396343736,2.849000000000178,1.1485378654952074,2021.0,BF,2018.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2021_BF_2,453,-0.19170573126417514,-1.308582270933063,-4.911080246913711,-0.060155919605856034,0.8209210450039414,4.103727272728487,2.8301159665321824,2021.0,BF,2018.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2021_BF_3,223,0.13599898747397826,-0.4103685723947237,-1.4789301254298852,0.15436314604543924,0.5939450978981723,1.7141503470074149,1.0564806030100988,2021.0,BF,2018.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2021_BF_4,75,0.47490021797162946,-0.3828749999999985,-1.2233333333340504,0.3439480158730852,1.3568910627611146,2.3816000000006525,1.2697331693759228,2021.0,BF,2018.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2022_BF_0,883,0.16195243389334987,-0.5473846335954975,-2.5782767958085766,0.048589175845610094,0.9451772808740222,2.541564550264312,1.827326871761556,2022.0,BF,2018.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2018_analysis_2022_BF_1,139,0.3659632693281745,-0.2929187334654646,-1.2582539682540848,0.1604310783573671,0.8338349867724499,2.2093760157970532,1.3481104070278003,2022.0,BF,2018.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
