system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2004_analysis_2014_BF_3,57,0.038488547103968054,-0.3771809523807672,-1.4595989974938233,-0.03700000000009673,0.47286002886007594,1.5785904761906178,0.8071680100743082,2014.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2014_BF_4,72,0.04883340890407287,-0.40215476190459376,-1.0413888888885716,-0.05723214285724021,0.46534143518542725,1.436714285714216,0.7435297949849127,2014.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2015_BF_0,443,0.024743548665273153,-0.4623088538445222,-1.3366695075757355,0.021643294383115456,0.5342393648790084,1.5327317460320864,0.911818319022607,2015.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2015_BF_1,68,0.059398302125987075,-0.3308343253968309,-1.1832539682539434,0.11019201724200048,0.5684642857143172,1.0694444444455105,0.6672650203219183,2015.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2015_BF_2,251,-0.00391109027731263,-0.538882510288159,-1.52864583333334,-0.0292699176532145,0.5997093253968921,1.6306063492066105,1.0330987672406793,2015.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2015_BF_3,57,0.16458473263134013,-0.1773428571427651,-0.8049999999999891,0.15364145658267603,0.5592727272726616,1.5716785714285502,0.6339098441347708,2015.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2015_BF_4,72,0.029618508275366013,-0.4406883597883098,-1.4245590828923502,0.04628383838358818,0.5547971781309298,1.4695238095232601,0.8307908075671905,2015.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2016_BF_0,443,-0.053456563987081054,-0.7151621604008457,-2.2849333333334636,-0.025973617377396015,0.598392225292849,2.1790909090911534,1.2948364738984732,2016.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2016_BF_1,68,-0.12469213802747152,-0.5718049796383275,-1.8194047619049778,-0.11504365079359546,0.33479745370378167,1.156309523809596,0.8890164381508869,2016.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2016_BF_2,251,-0.052497089112498674,-0.8245211167800827,-2.790630952381139,-0.10759002267586357,0.9244387755102268,2.576902597402447,1.5097723000487895,2016.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
