system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2010_analysis_2015_NF_2,6185,0.0012901969516155036,-0.5461993253968257,-0.20243398657697353,-0.8266252834467079,0.0039634057843791525,0.2341847236496522,0.5465999170812563,0.7958091484341486,0.5030325033379704,2015.0,NF,2010.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2015_NF_3,242,0.07078789071351245,-0.36922348484849365,-0.16745833333333238,-0.5608333333333206,0.02488005050505393,0.2754737373737356,0.5694654882154945,0.8420000000000414,0.45196083586788066,2015.0,NF,2010.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2015_NF_4,72,0.032699933361391466,-0.551111111111112,-0.23520833333331836,-1.0435714285714255,0.03960714285715502,0.3185714285714525,0.5323214285714357,0.7250000000000227,0.5241125795325529,2015.0,NF,2010.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2016_NF_0,6729,0.015994611663414725,-0.7196556926406928,-0.2800511536649288,-1.029968253968252,0.00999052492646264,0.27974592715874236,0.7209737493987467,1.1592132132132202,0.7423880454892765,2016.0,NF,2010.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2016_NF_1,296,0.02999854968604932,-0.4804583333333241,-0.1702595238095171,-0.7113988095238213,0.0034584776334796175,0.24789795918367707,0.5906388888888614,0.7415119047618788,0.4609060427951488,2016.0,NF,2010.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2016_NF_2,6122,0.01154032902648563,-0.7194539235639983,-0.2803195139468071,-1.0916468253968243,0.00980194635740056,0.279430052537447,0.7805716303470573,1.2122507936507925,0.7641853993091918,2016.0,NF,2010.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2016_NF_3,239,0.060891118295930025,-0.35166666666665947,-0.1502777777777927,-0.53958333333334,0.002517942583732759,0.2232398989899096,0.49344949494948764,0.7824999999999989,0.39585109421969106,2016.0,NF,2010.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2016_NF_4,72,0.1694092537477978,-0.3846964285714165,-0.1899067460317454,-0.8725000000000023,0.10300000000000864,0.5384166666666559,0.9149166666666559,1.1525000000000034,0.6203708676793621,2016.0,NF,2010.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2017_NF_0,6642,0.02168443859162059,-0.6567336466827757,-0.2185979804660364,-0.9715823412698468,0.010957865077993699,0.27889318017840803,0.71952639919604,1.0929779265873056,0.6741145754978691,2017.0,NF,2010.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2017_NF_1,280,-0.020608290816326657,-0.7896041666666598,-0.27730535714286,-1.1609722222222225,0.003077996715928493,0.28920493197278824,0.6020925925926122,1.1395833333333343,0.7392428788385984,2017.0,NF,2010.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
